¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81109
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50029
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.80654
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.650887
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.849315
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.061364
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.288428
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.551049
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.837776
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.14879
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.48723
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.867043
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.2921
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.761961
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28398
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81296
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38543
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58575
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3314
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17387
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13318
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.24503
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.5387
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69931
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16257
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.85513
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626801
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.823644
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.033952
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.271874
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.535887
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.821374
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.133355
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.486349
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.873182
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.298865
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.769452
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27302
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78621
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3557
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55034
(366.07, 9.66, 330.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29158
