¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.77863
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.425218
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.7203
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.060766
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.405428
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.781787
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.213309
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.710969
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.246567
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.881361
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56419
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39185
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31072
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14939
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40516
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77248
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29608
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.09867
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.75655
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.75625
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.64703
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73648
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.404703
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.693039
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.030538
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.37562
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.748738
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.167158
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.665969
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.195694
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.821445
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49475
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30389
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97359
(431.54, 12.51, 338.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01798
