¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.66709
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.237603
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.893065
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6736
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60341
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.72534
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.08617
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.83131
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.10741
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.87587
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.6017
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.731826
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.170269
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.665475
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.235606
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.89067
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67137
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60072
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.72078
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.07897
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.82073
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.0947
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.86639
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.40693
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.729939
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168241
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.663182
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.232791
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.887303
(353.03, 9.41, 316.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.66791
