¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.953791
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13897
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41274
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70385
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05757
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44366
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8601
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.21677
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47279
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752176
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.058208
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.838507
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.205714
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413973
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572647
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.73911
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.913995
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.097776
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.29116
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.494842
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.70959
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.891933
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06041
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3191
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60479
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90891
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23323
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58317
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216819
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472843
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752234
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.058271
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839218
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.206507
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.402727
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.560893
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.726896
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.901217
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.084445
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.277222
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.480273
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669326
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.828187
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.994336
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22859
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50904
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8075
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12561
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46528
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8288
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216837
ä(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472864
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752258
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.058296
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839999
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.207349
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.392485
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.550245
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715771
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.889619
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072332
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.264544
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460006
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609973
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.766788
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.930717
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14114
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41658
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70957
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02175
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35495
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6875
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216825
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472852
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752244
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.058281
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.840819
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.208276
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.383268
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540632
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.705743
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.879138
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.061409
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.253125
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.40472
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.55285
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.707626
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.869411
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0566
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32728
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61506
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92154
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2485
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54178
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78995
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216783
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472805
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752193
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.058226
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.841685
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.209202
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.375018
ë(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.532045
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.69681
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.869785
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051649
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.211447
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.351527
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.497821
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.650657
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.810431
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.97757
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.241
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52382
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82484
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14583
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40167
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64367
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216711
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472726
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752107
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.058131
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8426
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.210221
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.367782
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.524511
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.688936
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.861585
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.029241
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.161872
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.300323
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.444852
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.595852
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.753709
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.918798
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15771
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43573
(341.86, 7.14, 373.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73155
