¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
§(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.337177
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.604548
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.89945
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.219215
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.568978
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.954865
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.38004
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.859054
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.374068
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.959263
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61941
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39308
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31558
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.36271
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.61143
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.15141
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.96248
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.41835
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.2372
(424.35, 14.93, 246.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.870381
