¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(370.21, 9.74, 318.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 21.29038
(370.21, 9.74, 318.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 23.90357
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.787795
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.954095
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.150093
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.360724
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.799918
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.61045
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.6662
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.81931
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 14.14194
(370.21, 9.74, 318.54) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.8563
(370.21, 9.74, 318.54) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 16.07954
(370.21, 9.74, 318.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 18.36786
(370.21, 9.74, 318.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 18.54918
(370.21, 9.74, 318.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 21.04948
(370.21, 9.74, 318.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 21.47425
(370.21, 9.74, 318.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 24.12247
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.791135
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.973687
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.171094
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383315
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9783
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.29735
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.43383
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.58089
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.99539
(370.21, 9.74, 318.54) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.62902
(370.21, 9.74, 318.54) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.92597
(370.21, 9.74, 318.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 18.5589
(370.21, 9.74, 318.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 18.73859
(370.21, 9.74, 318.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 21.35678
(370.21, 9.74, 318.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 21.66373
(370.21, 9.74, 318.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 24.37453
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.808233
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.993633
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.192471
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.414582
(370.21, 9.74, 318.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.151993
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.07522
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.21111
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.43165
(370.21, 9.74, 318.54) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 13.85297
(370.21, 9.74, 318.54) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.41054
(370.21, 9.74, 318.54) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.77683
(370.21, 9.74, 318.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 18.777
(370.21, 9.74, 318.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 18.94114
(370.21, 9.74, 318.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 18.15099
(370.21, 9.74, 318.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 18.37867
(370.21, 9.74, 318.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 18.29564
