¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7331
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87954
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.9965
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.68709
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.937602
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.156386
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393203
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.651416
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934062
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243277
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.582901
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.957559
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.372883
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.835757
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.354748
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.94057
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6321
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4684
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44542
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20044
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95204
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79681
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8274
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.93122
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.60302
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.937919
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.156733
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393575
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.65074
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93084
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239524
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578763
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.953012
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.367807
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.830099
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.348389
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.933368
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61513
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44859
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41475
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22505
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00549
(425.12, 15.00, 246.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86257
