¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ã (392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46068
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22488
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11213
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15447
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33179
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.53059
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.50408
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.4803
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.45923
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.44083
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.46076
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.6939
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.34917
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.0018
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.99604
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.99302
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.99272
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 13.99515
(392.98, 14.71, 307.57) (426.17, 13.84, 302.21) (8.74, 12.73, 18.68) Truck 14.25585
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.56576
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.840867
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.139898
(392.98, 14.71, 307.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467797
