¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
²(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13417
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30183
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.1244
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.743865
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.946211
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.164567
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400868
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657387
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93669
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.241959
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.576839
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.942939
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.318179
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.621244
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.95771
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.323378
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722118
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15862
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37966
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.1413
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.746091
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.948595
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.167137
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.403665
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.660398
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939985
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.245573
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.5808
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.950226
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.327546
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.639444
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.97739
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.344758
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.745459
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23364
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45831
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.15751
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.748431
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.951094
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.169871
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.406593
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.66357
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.943493
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.249343
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584992
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.954866
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.329777
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.654129
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.99793
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.367085
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.7698
»(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35018
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53776
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.13675
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.750852
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.953719
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.172691
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.409671
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666921
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.947111
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.253348
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.589391
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.960839
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330806
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.655271
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.007806
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.390302
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.795119
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44038
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61803
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.06825
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.753418
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.956497
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.175677
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.412906
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670445
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950958
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257521
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.593988
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970421
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.332467
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.657038
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.009746
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.394343
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.815271
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5057
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69917
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00029
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.756106
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.95938
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.178772
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.416269
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674089
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954925
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.261895
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.598772
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.980265
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.334723
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.659474
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.012416
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.397238
(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.818393
¶(431.53, 12.28, 340.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59654
