¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.051999
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.037528
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.616039
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.816793
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.033619
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274077
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.538364
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.827298
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144426
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.493954
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.878486
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.291649
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.742583
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.238019
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.045785
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.016956
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.990057
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.96506
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.94194
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.920675
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.901241
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.883619
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.867793
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.853746
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 10.06072
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.611155
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.811507
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.027922
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.269857
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.533797
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.822295
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.138907
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.487842
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.868649
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280725
(404.46, 14.34, 246.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.731266
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.911092
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.885488
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.861753
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.839864
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.819797
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.801533
(404.46, 14.34, 246.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.785053
