¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.883721
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106158
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346757
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.604579
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885643
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.193156
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.530931
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.892347
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.230156
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.399426
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.367824
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.338078
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.310158
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.284033
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.259676
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.237063
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.216173
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.196981
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.17947
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.163622
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.535374
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.811058
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.808938
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.80873
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.810438
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.814057
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.819595
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.827056
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.889123
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.112001
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35113
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609332
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.89082
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198836
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.537165
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910511
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.250041
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.485181
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.453195
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.423085
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.394821
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.368371
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.343709
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.320809
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.299649
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.280205
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.26246
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.246395
(378.58, 14.65, 273.25) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.586231
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.623163
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.621001
Š (378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.62071
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.622297
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.625762
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.631107
(378.58, 14.65, 273.25) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.638336
(378.58, 14.65, 273.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.894624
