¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¶ (371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.227116
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.922417
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78076
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8076
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03357
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52238
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3381
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95487
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.48859
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.40719
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.085453
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.212173
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.347882
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.49353
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.650215
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.819192
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.001926
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.200118
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.415762
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.651215
(371.18, 9.01, 337.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.909275
