¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.247955
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.431
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.872643
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.177451
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.512093
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881063
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289865
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.683529
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.121778
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.608628
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09902
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.384834
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.369997
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.356281
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.343677
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.245244
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.234989
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.22579
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.21764
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.210529
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.204451
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.199399
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.195368
(408.47, 7.07, 362.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 5.192357
