¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¤(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.511227
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.971409
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.486152
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03859
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61546
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34403
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3091
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.35287
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.54834
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.98234
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.82266
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14385
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.12341
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.184695
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563555
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.022799
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552726
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.170883
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.347064
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.512883
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.973255
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.488226
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02319
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59819
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36277
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31109
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.35704
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.5533
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.98833
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.83051
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.15376
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.13635
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.185562
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549722
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.006895
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.534229
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149143
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.491104
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.538075
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.97511
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.490306
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00806
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58122
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38124
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31307
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.36122
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.55827
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.99435
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.74859
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.16373
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.14934
°(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.186503
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.535236
(327.71, 7.33, 382.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990242
