¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.419024
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.774689
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.163571
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.590487
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07885
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16568
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60319
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12444
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77824
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51003
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.36484
(338.63, 7.57, 337.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.32486
(338.63, 7.57, 337.29) (345.03, 2.05, 311.61) (0.81, 2.16, 0.81) Human 15.03853
(338.63, 7.57, 337.29) (345.03, 2.05, 311.61) (0.81, 2.16, 0.81) Human 14.86395
(338.63, 7.57, 337.29) (345.03, 2.05, 311.61) (0.81, 2.16, 0.81) Human 14.83683
(338.63, 7.57, 337.29) (345.03, 2.05, 311.61) (0.81, 2.16, 0.81) Human 14.82999
(338.63, 7.57, 337.29) (345.03, 2.05, 311.61) (0.81, 2.16, 0.81) Human 14.82632
(338.63, 7.57, 337.29) (345.03, 2.05, 311.61) (0.81, 2.16, 0.81) Human 14.82579
(338.63, 7.57, 337.29) (345.03, 2.05, 311.61) (0.81, 2.16, 0.81) Human 14.82849
(338.63, 7.57, 337.29) (345.03, 2.05, 311.61) (0.81, 2.16, 0.81) Human 14.83436
