¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.492288
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06979
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72493
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47371
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38428
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41575
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32624
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.06931
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9742
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10853
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52822
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.15147
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.58259
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.31475
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.15712
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.11737
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.09706
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.08666
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.08162
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.08031
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.08272
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.0937
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.14219
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.95809
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.271216
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.623158
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.012542
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.989726
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.500856
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07577
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72961
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48068
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39243
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42467
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33442
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12622
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06897
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21755
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.47628
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.31215
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.7232
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.22225
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.05201
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.02805
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.00786
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.99817
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.99314
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.99182
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.99679
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.00787
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.0495
ö(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.95903
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.274618
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.626912
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.016708
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.997123
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.509182
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08511
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73756
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48704
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39987
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4319
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34269
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18467
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16545
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33391
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.38505
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.48648
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.88474
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.13559
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.96709
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.94325
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.92316
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.91417
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.90914
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.9082
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.91549
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.92649
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.96326
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.959835
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277829
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.63046
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.020642
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.454883
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.51722
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09421
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74791
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49033
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40634
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43924
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35111
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24462
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.26371
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45463
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.30993
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.60958
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.08584
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 19.05342
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.88659
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.86286
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.84325
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.83456
ö(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.82953
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.83132
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.83854
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.84945
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.88565
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.961452
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.280855
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.633802
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.024353
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.459134
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.524966
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10294
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75786
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50038
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40333
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44666
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35959
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32501
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36372
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.57753
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.2382
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.73515
(336.09, 7.39, 349.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.32187
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.97565
(336.09, 7.39, 349.60) (338.49, 2.08, 313.54) (8.53, 3.44, 3.93) Truck 18.81042
