¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.801635
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.77267
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.745107
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.718915
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.694067
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.670533
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.648291
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.627315
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.607584
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.589076
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.571772
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.555655
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.540709
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.526916
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.514265
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.502742
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.492335
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.483035
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.474831
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.467716
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.461684
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.456727
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.452841
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.450023
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.448268
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.447577
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.447948
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.655597
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.84484
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.815648
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.787869
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.761472
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.736428
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.71271
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.690291
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.669149
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.649261
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.630606
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.613163
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.596917
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.58185
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.567945
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.555191
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.543572
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.533079
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.523701
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.515427
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.50825
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.502163
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.49716
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.493237
ã(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.490389
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.488612
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.487907
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.488271
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.644769
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.83495
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.860429
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.832425
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.805813
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.780566
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.756653
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.734052
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.712737
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.692686
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.673876
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.65629
(329.89, 7.28, 367.03) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 5.639909
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.624716
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.610695
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.597832
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.586114
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.575531
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.56607
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.557724
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.550482
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.54434
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.539289
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.535325
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.532446
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.530646
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.529925
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.530283
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.63409
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.823483
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.907071
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.878831
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.851997
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.826537
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.802423
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.779632
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.758136
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.737914
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.718944
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.701208
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.684685
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.669361
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.655218
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.642243
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.630423
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.619745
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.610198
ã(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.601775
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.594467
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.588265
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.583164
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.579159
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.576247
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.574423
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.573687
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.574037
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.623593
(329.89, 7.28, 367.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.812235
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.955638
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.927155
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.900087
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.874406
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.850083
(329.89, 7.28, 367.03) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 5.827091
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.805407
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.785007
(329.89, 7.28, 367.03) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 5.765871
