¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413708
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.822481
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.27492
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.778294
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36152
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02256
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80142
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4821
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24808
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11445
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02754
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05815
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.318
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71984
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24799
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.87494
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.92998
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.683549
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.019897
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.388712
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.794875
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.244296
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.7441
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3242
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98021
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72768
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43557
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1955
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05192
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95654
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98363
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18255
(434.04, 10.32, 363.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56379
