°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.83061
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.988895
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156095
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332996
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.520336
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.715878
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896217
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.086811
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.288494
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14357
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.10001
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.16585
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.234412
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.305881
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.380384
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.458058
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.539164
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.623785
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.712179
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.804569
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.901143
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.002161
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.10791
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.217115
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35901
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491184
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.630315
(341.99, 7.21, 377.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776848
