¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71204
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.69915
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.68875
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.68084
(342.23, 7.25, 370.13) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.67541
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.042359
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.208966
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.388071
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.58107
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.789565
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01546
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260972
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.528705
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821727
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.143784
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.499285
(342.23, 7.25, 370.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.893637
