¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Â(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30404
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.04758
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.80351
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.64023
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57741
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.46311
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36927
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.05667
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54329
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.07087
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.99571
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98372
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.773744
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.040074
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.321798
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.63711
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.982444
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.362175
(337.56, 7.55, 341.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.750099
