¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.630345
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16408
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75687
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05391
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85542
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76731
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8079
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02207
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38415
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.126924
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.334945
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.559394
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.801705
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.060851
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.337381
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.638006
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.971772
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.33608
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.726917
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.15808
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.645155
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17542
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7696
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06906
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87273
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77845
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82081
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03716
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4067
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132122
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.340751
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.565649
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.808461
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.06622
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.343204
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.645073
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.981663
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.343458
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.735029
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.167041
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.655814
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18732
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78296
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.085
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88595
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79054
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83484
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05362
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43095
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.137484
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.346731
Á(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.572091
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.815422
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.071833
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.349291
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.654387
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.991853
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.351195
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.743538
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.180923
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.666972
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19977
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79695
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46551
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89735
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80363
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84999
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0714
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45694
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.143199
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.352887
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.578723
(377.56, 16.08, 283.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.821262
