¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡ (427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.877129
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.847262
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.818978
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.792246
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.767035
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.743322
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.72108
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.700286
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.680918
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.662957
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.646384
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.631184
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.62991
(427.93, 14.99, 249.64) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.345864
(427.93, 14.99, 249.64) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 8.556612
(427.93, 14.99, 249.64) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 9.067314
(427.93, 14.99, 249.64) (400.87, 7.66, 253.95) (1.77, 1.43, 1.79) Tools 11.0339
(427.93, 14.99, 249.64) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 16.43343
(427.93, 14.99, 249.64) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 16.9954
(427.93, 14.99, 249.64) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 16.97921
(427.93, 14.99, 249.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.807723
(427.93, 14.99, 249.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.033209
(427.93, 14.99, 249.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.276752
(427.93, 14.99, 249.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.528463
(427.93, 14.99, 249.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802562
