¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ä(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 21.9499
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.00528
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.188676
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.423223
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.67761
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954406
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.249189
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566038
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.913434
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296037
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.71925
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.184497
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.691435
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25971
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90102
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60829
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39537
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29346
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49072
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07888
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47442
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.01518
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.11232
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.0802
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.07596
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.07667
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.11827
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.1692
(436.37, 13.85, 287.31) (431.65, 9.71, 249.74) (8.45, 2.89, 4.28) Truck 22.22472
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.18773
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.422172
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676467
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953138
(436.37, 13.85, 287.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246373
