¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
²(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.283342
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.489078
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.712663
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.9564
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.17965
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.407757
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.654713
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.003277
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.40486
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85691
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.369524
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.95554
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.256531
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.357709
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.462962
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572501
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.686531
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805267
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.928881
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05764
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1918
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33162
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4774
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62945
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78812
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95378
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.892951
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.066844
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.254586
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.457927
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.678756
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.91943
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.127316
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.351273
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.593548
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.890057
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.278031
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.71387
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.207009
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.769236
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.343326
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.446591
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.55405
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.665923
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.782296
(418.60, 13.99, 321.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.903551
