¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.570498
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.905154
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.239793
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.595819
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.114951
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.645237
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26575
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08412
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95502
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.79914
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.71068
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.608
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.13271
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.23822
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.73599
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.425962
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.589993
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.76541
(327.46, 6.96, 327.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.969012
