¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59377
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29267
(427.52, 14.88, 248.18) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 11.78927
(427.52, 14.88, 248.18) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 11.7576
(427.52, 14.88, 248.18) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 11.72838
(427.52, 14.88, 248.18) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 11.70157
(427.52, 14.88, 248.18) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 11.67717
(427.52, 14.88, 248.18) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 11.65513
(427.52, 14.88, 248.18) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 11.63543
(427.52, 14.88, 248.18) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 11.61807
(427.52, 14.88, 248.18) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 11.60301
(427.52, 14.88, 248.18) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 18.68972
(427.52, 14.88, 248.18) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 18.91049
(427.52, 14.88, 248.18) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 19.61239
(427.52, 14.88, 248.18) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 19.51521
(427.52, 14.88, 248.18) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 18.98293
(427.52, 14.88, 248.18) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 18.93256
(427.52, 14.88, 248.18) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 20.11401
(427.52, 14.88, 248.18) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 20.11165
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.763904
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050789
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.361942
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.691061
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.05261
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.451569
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.891384
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.393921
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.95875
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59803
(427.52, 14.88, 248.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3
(427.52, 14.88, 248.18) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 11.50884
