¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
!(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.609966
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.145079
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.122859
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.102336
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.083488
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.066296
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.050743
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.036815
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.024494
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.013772
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.004639
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.082426
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 9.054051
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.763379
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.758054
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.754441
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.752536
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.752338
(409.54, 12.29, 331.04) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 8.753848
