¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ş(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.057665
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.396198
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.762987
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09165
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2604
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43692
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62176
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81541
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01841
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25908
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48129
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73741
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0076
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29295
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59472
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7899
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98983
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19873
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41709
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64553
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88464
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.122086
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.44781
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.806289
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.202766
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.643419
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.057844
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.410404
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.778351
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09272
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2615
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43809
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62296
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81665
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02076
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3183
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50261
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75837
(345.13, 6.85, 386.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02958
