¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¼(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47798
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57057
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.429426
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.763569
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.124222
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.517717
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.948776
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43454
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98463
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52123
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11546
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52092
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56043
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60268
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64765
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69547
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74613
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79973
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85625
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91585
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97852
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04433
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11342
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18582
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26161
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34092
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42377
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51035
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72075
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02691
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433921
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768443
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.132515
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.52883
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.960921
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44311
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96544
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50002
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09196
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62634
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66689
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71017
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75623
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80511
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85693
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91166
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96942
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03025
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09419
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16138
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23182
³(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30564
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38292
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65046
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94522
(393.93, 12.66, 328.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25579
