¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.087063
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934522
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315968
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.743438
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.225643
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76613
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.373659
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0738
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88925
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85084
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00146
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40273
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.68232
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.521345
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.621818
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.72894
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.840169
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.95883
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.08588
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.222206
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.368823
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.526904
(378.19, 16.00, 290.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.697804
