¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2498
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50179
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76865
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2318
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65172
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08396
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55207
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20738
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.75926
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.76471
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.77402
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.77666
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.79371
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.81465
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112283
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.205238
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.302104
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403042
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.50833
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.618153
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.732758
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.852397
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.977444
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.10808
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.683542
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.230597
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.649078
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889961
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12212
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36753
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62725
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90251
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59562
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05331
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51897
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22516
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.67048
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.67583
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.68503
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.68759
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.70449
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.72528
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.083231
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.175237
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.271163
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.371094
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475317
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584016
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.697489
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.815921
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.939616
Ã(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.0689
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.204082
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.973327
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.367579
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.77261
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.998975
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23811
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49107
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75899
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53143
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98777
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48419
(420.31, 14.14, 322.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24413
