¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.530413
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.522596
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.516646
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.512556
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.510324
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.509945
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.511421
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.514753
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.519944
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.261363
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.478544
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.707509
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954639
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298622
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216722
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.401098
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.65585
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.659827
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.630777
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.603769
(342.58, 7.27, 372.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 9.578773
