¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.05511
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53868
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61284
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.8358
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.09237
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.22461
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3855
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.7612
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.9894
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53918
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.13851
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.79357
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.51126
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.30081
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.17338
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.66912
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.77078
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.01357
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.26886
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.35776
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44681
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.75956
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.06197
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.61794
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.22277
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.88382
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.61031
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.41
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.29432
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.80812
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93168
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.19493
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.62066
(398.60, 12.56, 328.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.49541
