¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.87237
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.567988
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856319
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.172591
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.44697
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.716462
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.741229
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018658
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.562191
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.186692
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.911537
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76285
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77651
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.00366
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.85685
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.74754
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.72556
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.7096
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.69648
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.68616
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.67859
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.67377
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.67172
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.69439
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.84388
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59508
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.88598
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.187566
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.436776
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.705396
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.746169
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.007217
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.5491
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.171568
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.893881
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74196
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75157
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.97318
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.96082
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.81306
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.79165
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.77916
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.76962
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.76288
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.75902
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.75801
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.75983
(354.88, 7.08, 355.16) (329.51, 1.39, 364.73) (0.81, 2.16, 0.81) Human 13.79159
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.622296
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.91581
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.178343
À(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.426842
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.694732
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.752264
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.995472
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.535663
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.156053
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.875767
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72055
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72588
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.94194
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55712
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51868
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.55911
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71049
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649572
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.938899
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169416
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417246
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684385
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.761769
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.98343
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.52189
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.140151
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.857208
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69862
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.69957
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90993
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51743
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47795
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64752
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65514
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676978
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.930813
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.160746
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.407935
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.674314
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.774868
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.971096
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.507784
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.123868
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.838213
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67618
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67266
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.86956
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47685
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43813
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68939
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.60234
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.704499
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.923021
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.152357
Â(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.398924
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.664632
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.789509
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.958471
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.493354
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.107218
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.818791
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65324
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63859
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82658
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43377
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39769
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63801
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.55209
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702133
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.915462
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144248
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390217
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.655247
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805709
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.945567
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.478602
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.090199
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.798947
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62403
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60285
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.78306
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38928
(354.88, 7.08, 355.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34383
