¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.897961
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.921177
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.47884
(396.67, 14.12, 247.03) (361.00, 7.78, 260.56) (1.35, 1.29, 1.38) Tools 23.79316
(396.67, 14.12, 247.03) (361.00, 7.78, 260.56) (1.35, 1.29, 1.38) Tools 23.78622
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.289634
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.901425
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.137862
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395341
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676722
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.996044
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.349146
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.741346
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.179474
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.648376
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.156961
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.78167
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.499
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3039
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24394
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8493
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41627
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.89511
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.58044
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.568624
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.558701
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.45619
(396.67, 14.12, 247.03) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 23.71085
(396.67, 14.12, 247.03) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 23.63687
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.278385
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.886738
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.121899
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.377926
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.65765
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.974044
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.324748
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.714175
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149058
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.625952
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.157312
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.764765
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45483
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25596
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.179
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81934
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.69911
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.683569
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.561645
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.54985
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.539945
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.837839
ã(396.67, 14.12, 247.03) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 23.69452
(396.67, 14.12, 247.03) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 23.68763
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.267202
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.872136
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106068
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.360632
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.638776
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.952177
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.300537
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.687268
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118892
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.603646
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.128562
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.723539
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41112
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20864
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.711807
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.685924
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.667686
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.654816
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.544777
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.533004
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.523115
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.72769
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.50476
(396.67, 14.12, 247.03) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 23.74324
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.735669
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.256086
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.857703
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.090359
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.343535
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.620034
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93046
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.276512
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660545
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.088986
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.569984
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.092725
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.682795
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36773
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.715806
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.68516
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.656579
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.638339
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.62809
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.529824
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.518068
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.508196
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.619699
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.42723
(396.67, 14.12, 247.03) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 23.80377
à(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.373385
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.243359
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.443743
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.074766
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.326565
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601463
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.908906
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.252676
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.634025
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.059322
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.536615
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.05731
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.64253
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.735142
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.697396
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.661819
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.635144
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.615547
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.604745
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.516769
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.505032
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.49517
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.513828
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.41294
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.40824
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.85106
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.85283
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.85887
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.360541
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.230644
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.429971
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.059333
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.309743
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.583065
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.887562
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.229056
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.607747
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.029943
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.503541
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.022289
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.602757
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.719615
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.681952
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.647055
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.619231
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.59852
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.590972
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.505601
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.493876
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.484026
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.476042
Ş(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.56252
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.39602
(396.67, 14.12, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.39336
(396.67, 14.12, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.90668
