¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‰(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20617
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56423
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.06805
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.60542
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09177
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32189
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.56145
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.81101
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.07093
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.34181
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.62415
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.94229
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.17949
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985167
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198084
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.411126
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638654
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882213
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.143452
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.424293
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.910275
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.428123
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01056
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64915
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41837
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17311
(331.67, 6.60, 321.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8105
