¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Õ(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.15948
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.79874
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.49764
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.26477
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.11041
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.04707
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.6434
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86232
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.16576
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.209876
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.607193
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.82903
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.24431
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.8913
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.59902
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.37626
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.2336
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.18678
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81141
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.04142
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.37961
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.163056
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.554831
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.87325
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33032
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.98519
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.70191
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.49097
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.36369
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.33205
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98248
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22402
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.59778
(399.93, 12.71, 328.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.116424
