¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¶(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.130989
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.451812
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.804464
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.193832
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.625875
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.09664
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.615206
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04172
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50996
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02627
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81967
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27935
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.45003
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.76507
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.17202
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570395
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839219
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.132385
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.453362
(440.57, 14.77, 253.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.80617
