¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75401
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40195
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.42792
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.15024
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.600461
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.108438
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.682647
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33628
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37029
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28386
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00154
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39672
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.154613
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.605639
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.114677
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.689731
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33611
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2303
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96201
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43845
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51766
(344.92, 8.22, 313.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.158482
