¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.434
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93331
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75003
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.96477
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.92185
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.89808
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.87728
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.85943
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.84451
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.83251
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.82342
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.42237
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.9725
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.98799
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.81599
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.82135
(408.66, 14.08, 247.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860631
