¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
·(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.45448
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.43071
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.40946
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.39068
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.37437
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.36052
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.34909
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.3401
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.33351
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.32934
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.32757
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.28173
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.57066
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842406
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.139001
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.463999
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.821636
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216912
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.656053
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.146671
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698263
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29869
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97874
(330.20, 7.30, 374.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75746
(330.20, 7.30, 374.51) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 12.52197
