¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.775471
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.06727
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.382442
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.728612
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.110507
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.531165
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.585646
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16176
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84108
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62019
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50459
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50498
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68246
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08827
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45729
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.40871
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.87119
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.782626
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.076888
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.392988
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.740225
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.123351
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.092927
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606708
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18449
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86707
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65013
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54073
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54725
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73255
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14864
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.555
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.27914
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.7704
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.789588
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.086453
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.403479
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.751777
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.136129
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.111675
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.627739
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20786
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89288
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67989
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57676
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58943
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7826
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20891
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.6949
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31256
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.69627
Ü(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.796351
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.095964
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.413907
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.763262
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.148838
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.130362
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.648654
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23148
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91846
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70939
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61269
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6315
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83254
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23383
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83696
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.47297
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.76927
(346.36, 6.65, 386.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.802917
