¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.293406
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.206177
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.122384
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.041873
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.964506
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.890148
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.818677
(378.66, 16.05, 281.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.49308
(378.66, 16.05, 281.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727814
(378.66, 16.05, 281.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.981563
(378.66, 16.05, 281.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.256669
(378.66, 16.05, 281.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.555891
(378.66, 16.05, 281.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882423
(378.66, 16.05, 281.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.24015
(378.66, 16.05, 281.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.618272
(378.66, 16.05, 281.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.033432
(378.66, 16.05, 281.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.492537
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.994455
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.968065
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.943222
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.919899
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.898073
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.918869
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.912716
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.619349
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.511744
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.413684
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.320656
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.231327
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.145527
(378.66, 16.05, 281.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.063103
