°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ï(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.743728
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.95081
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174625
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.417229
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68021
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.963071
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.272413
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.612049
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.986609
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.401667
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.869783
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.407003
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01556
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66413
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29267
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91316
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60835
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71292
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38662
(341.82, 7.17, 370.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.32733
(341.82, 7.17, 370.46) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.47931
(341.82, 7.17, 370.46) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.45215
(341.82, 7.17, 370.46) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.42885
(341.82, 7.17, 370.46) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.40939
(341.82, 7.17, 370.46) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.39374
(341.82, 7.17, 370.46) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.3819
(341.82, 7.17, 370.46) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.37384
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.186549
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444643
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.726577
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.035742
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.377343
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.758258
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.182333
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.657235
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.87907
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5843
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25314
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82306
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45629
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56188
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38383
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63195
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4407
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.97442
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19089
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.449378
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.73176
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.041439
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.382492
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.76127
≈(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.185697
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.661015
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.884416
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59043
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16968
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73069
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35359
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36847
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1025
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10706
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.43765
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.96178
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.195192
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.454068
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.736897
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.047083
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.388724
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.766768
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.188969
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.664689
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889461
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59122
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10564
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64047
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25327
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12651
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83293
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62268
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55943
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.94788
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.199453
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.458718
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.741985
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.052678
(341.78, 7.16, 370.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.3949
