¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.118013
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346832
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601685
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.879021
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.182177
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514825
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881372
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287214
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.738917
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.257718
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02261
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.87543
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.84697
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.82076
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.79677
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.77499
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.75539
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.73795
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.72265
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.70948
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.69843
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 11.29319
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 11.28595
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 11.28092
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 11.27809
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 11.42044
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.71604
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.911677
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.122359
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349895
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.613266
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885471
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.182509
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.507867
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865708
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.261034
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.701235
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212839
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.986143
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.86261
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.83419
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.80801
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.78406
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.76231
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.74273
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.72532
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.71004
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.69689
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.68585
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.67692
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 11.2727
è(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 11.26768
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 11.26485
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 11.39333
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.722741
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.918846
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.130096
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.358262
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.648905
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.924271
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224904
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.554377
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.916962
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317776
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.763126
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.214947
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.94135
(414.91, 14.55, 246.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85175
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.82355
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.79741
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.77348
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.75175
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.7322
(414.91, 14.55, 246.14) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 10.71481
