¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93275
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96912
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27306
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0295
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.50022
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.45334
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.40992
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.36992
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.33328
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.29998
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.26998
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.24325
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.21976
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.693972
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.660158
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.174717
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.746376
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36817
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11524
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03617
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10966
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.44403
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2937
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.67232
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.62496
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.58109
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.54067
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.50365
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.47001
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.4397
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.41269
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.49854
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.729774
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.146432
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.228297
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805389
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44133
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2034
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13997
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25159
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61708
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.56292
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.85137
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.8035
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.75917
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.71832
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.68091
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.6469
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.61627
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.58898
(381.02, 14.30, 306.27) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.86607
±(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.765468
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.186286
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.281853
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.864514
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51468
(381.02, 14.30, 306.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29169
