¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Œ(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273349
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.768982
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22591
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72992
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31016
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54777
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70756
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87417
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04801
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22941
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41879
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6167
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82349
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02395
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1678
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01653
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 22.90855
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.45183
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.562482
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.722706
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.942563
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.205548
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.534667
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.902086
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.314813
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.765887
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25047
(335.74, 7.38, 347.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79725
