¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ï(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.413404
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805691
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.243508
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.705468
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.01719
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.353979
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.71885
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21904
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.7171
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.6816
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.64839
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.6274
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.61492
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.60935
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.11138
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.73874
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.4822
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.60396
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.60534
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.61143
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.62033
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.63133
(396.74, 14.12, 247.06) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.64442
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.937276
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.181725
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.448486
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740199
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050854
(396.74, 14.12, 247.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.398023
