¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ù(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.779007
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.272135
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.81748
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45956
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19385
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95397
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.54417
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.55155
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.56139
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.5737
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.58849
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.60578
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.62558
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.361198
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.618528
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.899002
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.205722
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54253
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.91398
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.325608
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.784263
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.289131
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860174
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5082
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24975
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02612
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.32192
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.29244
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.26548
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.24102
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.21904
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.22988
(431.10, 15.02, 249.59) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 12.24805
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.363849
(431.10, 15.02, 249.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.621439
