¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
»(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.280673
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.613834
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.980593
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.386191
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.836998
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.340974
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.90794
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55041
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29318
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18773
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31132
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20575
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20432
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.79371
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.96907
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.272278
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604591
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970407
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.374861
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.824383
(436.48, 14.09, 299.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.326868
