¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 17.35699
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 17.54794
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 17.74664
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.1647
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.420345
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699473
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.0054
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.334068
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.69039
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.089137
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.532369
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.027335
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.585703
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22004
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95048
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.81583
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82187
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.00766
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.42122
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.07958
(433.59, 15.23, 248.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.10852
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 15.18457
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 15.14056
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 15.09973
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 15.35615
(433.59, 15.23, 248.22) (442.38, 8.97, 274.88) (5.45, 3.00, 8.50) Truck 14.75579
