¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ú(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64039
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66136
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86257
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21843
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72032
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38111
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.4485
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.22137
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.007783
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.221487
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.452259
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.702165
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.973625
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.287257
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.58957
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425463
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.870301
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.366659
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.896766
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47617
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12996
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87325
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7114
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67464
(366.03, 9.61, 330.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69622
