¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.197255
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.177911
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.159712
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.14264
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.126677
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.111805
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.098011
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.08528
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27703
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49109
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71642
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95381
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21495
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60342
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02219
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47486
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96556
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26906
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.96756
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.97349
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.98332
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.313401
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.291458
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.270719
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.251161
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.232763
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.215508
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.199378
(419.84, 13.89, 324.03) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.184353
(419.84, 13.89, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.904976
