¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(428.81, 14.34, 320.73) (440.94, 7.42, 287.91) (1.28, 0.85, 1.29) Fence 18.59095
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.564194
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.83428
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.128996
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.451796
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806805
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.199011
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.634484
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.120684
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.666906
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28485
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98948
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80024
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.69762
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.75051
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75536
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21566
(428.81, 14.34, 320.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.97836
