¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.842657
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.824056
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.807247
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.792212
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.778935
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.767407
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.757614
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.749546
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.743196
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.738558
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.735628
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 11.09887
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 11.09931
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.125593
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.359865
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.614096
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.873462
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.148672
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.448374
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.775866
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140559
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.570902
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.878146
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.929098
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.901336
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.875469
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.851474
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.829324
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.808998
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.790477
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.77374
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.758769
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.745552
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.734076
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.724328
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.716298
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.709981
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.705367
(405.83, 14.26, 243.74) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.702456
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 11.04197
(405.83, 14.26, 243.74) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 11.04242
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.123195
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.357264
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.611278
(405.83, 14.26, 243.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.869009
