¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¦(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69163
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.66575
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.17415
(325.81, 6.88, 332.59) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 22.34167
(325.81, 6.88, 332.59) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 22.30697
(325.81, 6.88, 332.59) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 22.2767
(325.81, 6.88, 332.59) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 22.23647
(325.81, 6.88, 332.59) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 22.2147
(325.81, 6.88, 332.59) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 22.1973
(325.81, 6.88, 332.59) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 22.18425
(325.81, 6.88, 332.59) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 22.17554
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.060285
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.287851
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.534492
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802628
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.095185
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.368005
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.614893
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.873499
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.15194
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.452518
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.777882
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.131157
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.515972
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00115
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81251
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50549
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99113
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64325
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.60517
(325.81, 6.88, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.09616
(325.81, 6.88, 332.59) (317.06, 0.43, 302.28) (1.40, 1.43, 1.36) Tools 21.92462
(325.81, 6.88, 332.59) (317.06, 0.43, 302.28) (1.40, 1.43, 1.36) Tools 21.89037
(325.81, 6.88, 332.59) (317.06, 0.43, 302.28) (1.40, 1.43, 1.36) Tools 21.86049
(325.81, 6.88, 332.59) (317.06, 0.43, 302.28) (1.40, 1.43, 1.36) Tools 21.83493
(325.81, 6.88, 332.59) (317.06, 1.79, 302.28) (1.47, 1.43, 1.43) Tools 21.84112
