¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¤(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34639
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27742
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30399
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6769
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07413
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53816
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07825
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.6173
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.36591
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.51787
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.37109
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.784679
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.013172
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.261729
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.978372
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.290617
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638091
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.037109
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.481863
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.975183
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.504603
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10254
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82054
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38818
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36771
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43245
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81297
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21855
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72119
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2698
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76421
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.04043
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60472
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.5457
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.782729
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.011053
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.259421
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.530525
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.288365
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635698
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.034437
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.478889
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.971771
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.500781
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09815
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81741
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43088
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39552
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49504
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95372
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38476
š(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91098
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.414
(435.63, 13.88, 289.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93725
