¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(428.26, 14.90, 248.52) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.847062
(428.26, 14.90, 248.52) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.953206
(428.26, 14.90, 248.52) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.92249
(428.26, 14.90, 248.52) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.35026
(428.26, 14.90, 248.52) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.33582
(428.26, 14.90, 248.52) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.32382
(428.26, 14.90, 248.52) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.31424
(428.26, 14.90, 248.52) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.30708
(428.26, 14.90, 248.52) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.30232
(428.26, 14.90, 248.52) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.29996
(428.26, 14.90, 248.52) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 12.32501
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.496094
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.754701
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.036177
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.343634
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.680763
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.019505
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.335829
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637419
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.963471
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.316991
(428.26, 14.90, 248.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.730815
(428.26, 14.90, 248.52) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.26984
(428.26, 14.90, 248.52) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.37713
(428.26, 14.90, 248.52) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.48876
(428.26, 14.90, 248.52) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.73383
(428.26, 14.90, 248.52) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.72576
(428.26, 14.90, 248.52) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.85154
(428.26, 14.90, 248.52) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.98248
(428.26, 14.90, 248.52) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 11.11881
(428.26, 14.90, 248.52) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 12.00489
(428.26, 14.90, 248.52) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.99086
