¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17307
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86143
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63989
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51862
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.49069
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57178
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71679
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3206
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26923
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.64917
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.3618
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.019421
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.340506
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.69325
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.08243
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.516638
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.999747
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.544677
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15975
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84672
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62399
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50189
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.4744
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35378
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69296
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29193
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.23407
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.40474
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.1531
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.013752
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.334097
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.686104
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.074508
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.507475
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.989475
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.532686
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14612
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83171
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60781
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.48494
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19884
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33358
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.66901
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26313
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.19876
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.16682
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.93349
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.007934
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.327506
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.678781
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.066387
½(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.498096
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.978962
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.520426
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13218
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81641
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.59133
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20786
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1815
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31329
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64499
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2342
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1633
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03804
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.69408
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.001966
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.320732
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.671278
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.058072
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.488502
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.968206
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.507896
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11794
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80081
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28798
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19275
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16401
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29289
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62083
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20516
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12771
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9861
(336.08, 7.36, 349.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.49083
