¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
—(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.20868
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.81129
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56141
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98209
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42119
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75726
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18341
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.246735
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.520834
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.821483
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.154768
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.524509
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.936181
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.397237
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.917013
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.50736
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18354
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96556
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85633
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88422
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.13505
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.71996
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73644
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16922
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.58085
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95608
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64783
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.233032
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.50583
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.804987
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.136695
(330.45, 7.33, 368.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.504438
