¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
›(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65891
(421.70, 14.75, 245.63) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 15.93191
(421.70, 14.75, 245.63) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 16.02333
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37973
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.99199
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.66452
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.735881
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.041726
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.383425
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.760025
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.180658
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.651768
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.79677
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43945
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18602
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05011
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06161
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2463
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63947
(421.70, 14.75, 245.63) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 15.63446
(421.70, 14.75, 245.63) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 15.72182
(421.70, 14.75, 245.63) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 15.92581
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.92234
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.57396
(421.70, 14.75, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734872
