¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ü(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69273
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19423
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08745
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80801
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34935
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61795
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8985
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19174
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.253361
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.395869
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.833068
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.973316
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.122961
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.282986
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.454402
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.63847
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.836575
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.033045
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.230685
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.880332
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.416293
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044495
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.790862
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.691968
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80123
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85948
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35455
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87661
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68047
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01886
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95362
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.66189
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28245
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54891
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82728
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.14118
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.253027
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.690856
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.82188
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.961384
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.110273
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.269446
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.439911
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.622929
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.819856
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.004675
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.20032
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.88349
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419956
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.048831
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.796047
‚(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698251
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80907
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86586
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34421
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86534
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66991
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84958
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82464
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52121
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21928
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48381
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77404
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10831
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.2528
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.680613
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.810997
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.949869
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.097973
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.256287
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.425877
(328.03, 7.12, 324.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.607865
