¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400437
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.663861
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951309
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.266136
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.612399
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.994978
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.41048
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.865851
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375276
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.948885
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.746063
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.65167
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.627553
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.605423
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 10.01285
(403.96, 14.27, 246.74) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 12.93734
(403.96, 14.27, 246.74) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 11.38363
(403.96, 14.27, 246.74) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 11.36996
(403.96, 14.27, 246.74) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 11.50325
(403.96, 14.27, 246.74) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.93317
(403.96, 14.27, 246.74) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.9367
(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.27611
(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.23681
(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.20217
(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.17214
(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.14669
(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 23.1258
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.166378
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.409296
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.673522
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961868
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.277719
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625193
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.00911
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.427015
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.884472
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.396415
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.97301
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.785394
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.689149
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.664936
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.64272
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 10.05117
(403.96, 14.27, 246.74) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 13.73651
(403.96, 14.27, 246.74) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 11.29448
(403.96, 14.27, 246.74) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 11.28089
(403.96, 14.27, 246.74) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 11.78013
(403.96, 14.27, 246.74) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 13.19038
(403.96, 14.27, 246.74) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 13.17288
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.17968
(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 24.22546
ì(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 24.18811
(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 24.15557
(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 24.12782
(403.96, 14.27, 246.74) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 24.10483
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174595
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.418239
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.683235
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.972477
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289386
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.63805
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.023355
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.446492
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.906212
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420802
(403.96, 14.27, 246.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00059
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.827111
(403.96, 14.27, 246.74) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 9.728825
